lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,ENSEMBLE tag,ENSEMBLE replacements,entropy,%OPENCLASS
same,samed,0.0006043513295729,0.0,3,"I get to samed on sat's noon, it so hot but funny and happy, with my ex colleager and my bf, about 20 peoples, wow!!!",32436,4,3,"('I', 'get', 'to', 'samed', 'on', 'sat', ""'s"", 'noon', ',', 'it', 'so', 'hot', 'but', 'funny', 'and', 'happy', ',', 'with', 'my', 'ex', 'colleager', 'and', 'my', 'bf', ',', 'about', '20', 'peoples', ',', 'wow', '!', '!', '!')",4964.0,VERB,"['go', 'it', 'work', 'party', 'be']",0.007333551916871541,1.0
same,samed,0.0006043513295729,0.0,3,"Afternoon i had lunch with myy and keth (myy's colleager) at 'swiss cafe' on silom road, and then i went to see my friend who i went to samed on last week.",32435,7,34,"('Afternoon', 'i', 'had', 'lunch', 'with', 'myy', 'and', 'keth', '(', 'myy', ""'s"", 'colleager', ')', 'at', ""'"", 'swiss', 'cafe', ""'"", 'on', 'silom', 'road', ',', 'and', 'then', 'i', 'went', 'to', 'see', 'my', 'friend', 'who', 'i', 'went', 'to', 'samed', 'on', 'last', 'week', '.')",4964.0,VERB,"['meet', 'check', 'work', 'lunch', 'sleep']",0.007333551916871541,1.0
self,self,0.0006138735420503,0.0,1,"I completely forgot to mention this yesterday ( sigh ....note to self: get planner and  use it ), but the blogging might also be light-to-nonexistent from about aug. 17 to aug. 30.",22841,0,12,"('I', 'completely', 'forgot', 'to', 'mention', 'this', 'yesterday', '(', 'sigh', '....', 'note', 'to', 'self', ':', 'get', 'planner', 'and', ' ', 'use', 'it', ')', ',', 'but', 'the', 'blogging', 'might', 'also', 'be', 'light', '-', 'to', '-', 'nonexistent', 'from', 'about', 'aug', '.', '17', 'to', 'aug', '.', '30', '.')",1629.0,PRON,"['self', 'myself', 'yourself', 'me', 'readers']",0.007435250474289865,0.9975505205143906
fact,fact,0.0003332222592469,0.0003332222592469,1,"The logic is that i have some download episodes, some new and some long and forgotten and they fact is that i dont watch them anymore.",20408,3,19,"('The', 'logic', 'is', 'that', 'i', 'have', 'some', 'download', 'episodes', ',', 'some', 'new', 'and', 'some', 'long', 'and', 'forgotten', 'and', 'they', 'fact', 'is', 'that', 'i', 'do', 'nt', 'watch', 'them', 'anymore', '.')",3001.0,VERB,"['problem', 'reason', 'all', 'happen', 'happened']",0.008659408063682544,0.9996668887408394
able,abled,0.0003502626970227,0.0003502626970227,1,Shroom thanked him and looked sufficiently ill-abled that sprout took up the electric screwdriver and removed the cabinet doors that remained.,23858,21,8,"('Shroom', 'thanked', 'him', 'and', 'looked', 'sufficiently', 'ill', '-', 'abled', 'that', 'sprout', 'took', 'up', 'the', 'electric', 'screwdriver', 'and', 'removed', 'the', 'cabinet', 'doors', 'that', 'remained', '.')",2855.0,CCONJ,"['so', 'and', 'after', 'but', 'for']",0.00905181410216797,1.0
interested,interested,0.0012870012870012,0.0,1,I thought it was okay- but what interested me is that the movie had two quotes which put a finger on what i think are the major weaknesses of both political parties.,21385,1,7,"('I', 'thought', 'it', 'was', 'okay-', 'but', 'what', 'interested', 'me', 'is', 'that', 'the', 'movie', 'had', 'two', 'quotes', 'which', 'put', 'a', 'finger', 'on', 'what', 'i', 'think', 'are', 'the', 'major', 'weaknesses', 'of', 'both', 'political', 'parties', '.')",777.0,VERB,"['surprised', 'interested', 'impressed', 'disappointed', 'got']",0.014213046403577458,1.0
idea,idea,0.0005834305717619,0.0005834305717619,2,If ragbrai sounds like you idea of a good time check it out.,37873,31,5,"('If', 'ragbrai', 'sounds', 'like', 'you', 'idea', 'of', 'a', 'good', 'time', 'check', 'it', 'out', '.')",3428.0,VERB,"['dream', 'think', 'kind', 'want', 'need']",0.014218208162229394,1.0
idea,idea,0.0005834305717619,0.0005834305717619,2,"i have a bunch of old-school photos i swiped from my parents ages and ages ago, with the intentions of doing photo retrospectives (idea blatantly stolen from the lovely and knocked-up  urllink jenandtonic ), but then the photos sort of sat around for six months.  however!",20513,0,27,"('i', 'have', 'a', 'bunch', 'of', 'old', '-', 'school', 'photos', 'i', 'swiped', 'from', 'my', 'parents', 'ages', 'and', 'ages', 'ago', ',', 'with', 'the', 'intentions', 'of', 'doing', 'photo', 'retrospectives', '(', 'idea', 'blatantly', 'stolen', 'from', 'the', 'lovely', 'and', 'knocked', '-', 'up', ' ', 'urllink', 'jenandtonic', ')', ',', 'but', 'then', 'the', 'photos', 'sort', 'of', 'sat', 'around', 'for', 'six', 'months', '.', ' ', 'however', '!')",3428.0,NOUN,"['all', 'photos', 'so', 'images', 'photo']",0.014218208162229394,1.0
difference,difference,0.0013175230566534,0.0,1,"Those few are the ones that difference us from ants, they don't walk in one direction and fuck everyone who is on their way.",32620,16,6,"('Those', 'few', 'are', 'the', 'ones', 'that', 'difference', 'us', 'from', 'ants', ',', 'they', 'do', ""n't"", 'walk', 'in', 'one', 'direction', 'and', 'fuck', 'everyone', 'who', 'is', 'on', 'their', 'way', '.')",759.0,VERB,"['protect', 'save', 'separate', 'keep', 'tell']",0.014505534000858198,0.9973718791064388
lot,lots,0.0001399776035834,0.0011198208286674,1,"Lars had this to report about korea (and he's flown about 1,000,000 miles thus far): it's similar to europe, but just lots more people.",71,11,26,"('Lars', 'had', 'this', 'to', 'report', 'about', 'korea', '(', 'and', 'he', ""'s"", 'flown', 'about', '1,000,000', 'miles', 'thus', 'far', '):', 'it', ""'s"", 'similar', 'to', 'europe', ',', 'but', 'just', 'lots', 'more', 'people', '.')",7144.0,VERB,"['with', 'much', 'has', 'lots', 'many']",0.014585487184366454,0.9997201231458158
goal,goals,0.001360544217687,0.0,1,"I shall be more upfront now, talk about my life, my dreams goals stuff like that.",18151,3,14,"('I', 'shall', 'be', 'more', 'upfront', 'now', ',', 'talk', 'about', 'my', 'life', ',', 'my', 'dreams', 'goals', 'stuff', 'like', 'that', '.')",735.0,CCONJ,"['and', '&', ',', 'or', '...']",0.014916072938804032,0.998641304347826
ear,ears,0.0017452006980802,0.0,1,"They are a face to talk to - eyes that cannot see your pain, noses that cannot smell the fear, lips that cannot speak words you dont want to obey, ears that words fall deafly onto and no arms to reach out and comfort you lest you break down and tell all.",22291,22,37,"('They', 'are', 'a', 'face', 'to', 'talk', 'to', '-', 'eyes', 'that', 'can', 'not', 'see', 'your', 'pain', ',', 'noses', 'that', 'can', 'not', 'smell', 'the', 'fear', ',', 'lips', 'that', 'can', 'not', 'speak', 'words', 'you', 'do', 'nt', 'want', 'to', 'obey', ',', 'ears', 'that', 'words', 'fall', 'deafly', 'onto', 'and', 'no', 'arms', 'to', 'reach', 'out', 'and', 'comfort', 'you', 'lest', 'you', 'break', 'down', 'and', 'tell', 'all', '.')",573.0,NOUN,"['hands', 'lips', 'face', 'skin', 'mouth']",0.018505805829786615,0.9982578397212544
beginning,beginning,0.0018867924528301,0.0,1,It'll be interesting to see how/if north korea comes in line given whats going on in the middle east (saudi's beginning to crack down on wahabbism) - heh.,5470,2,26,"('It', ""'ll"", 'be', 'interesting', 'to', 'see', 'how', '/', 'if', 'north', 'korea', 'comes', 'in', 'line', 'given', 'what', 's', 'going', 'on', 'in', 'the', 'middle', 'east', '(', 'saudi', ""'s"", 'beginning', 'to', 'crack', 'down', 'on', 'wahabbism', ')', '-', 'heh', '.')",530.0,NOUN,"['trying', 'efforts', 'decision', 'plan', 'plans']",0.019794682453732056,1.0
story,storied,0.0003032140691328,0.001516070345664,1,"For me, most of those reasons were the rich storied-ness that he note evoked.",12751,21,10,"('For', 'me', ',', 'most', 'of', 'those', 'reasons', 'were', 'the', 'rich', 'storied', '-', 'ness', 'that', 'he', 'note', 'evoked', '.')",3298.0,PUNCT,"['-', 'emotional', 'human', '', 'sad']",0.020364737742370496,0.9996968778417702
full,fulled,0.00092980009298,0.0,2,Why is everything so fulled up wif problems.,34720,0,4,"('Why', 'is', 'everything', 'so', 'fulled', 'up', 'wif', 'problems', '.')",2151.0,VERB,"['tied', 'made', 'set', 'fucked', 'filled']",0.021407986239059918,0.9885110294117648
