lemma (V),sentence,dobj,dobj index,truncated sent,replacement sentences,sentence similarity,token similarity
eat,Who wants to huddle together underground eating canned spam?,spam,8,Who wants to huddle together underground eating canned,"{'Who wants to huddle together underground eating canned fruit', 'Who wants to huddle together underground eating canned pineapple', 'Who wants to huddle together underground eating canned goods', 'Who wants to huddle together underground eating canned beans', 'Who wants to huddle together underground eating canned food'}",0.840132713,-0.018553612
eat,"(safety note: concentrated hydrofluoric acid is so corrosive that it will eat its way through glass, so store it only in plastic.",way,15,(safety note: concentrated hydrofluoric acid is so corrosive that it will eat its,{'(safety note: concentrated hydrofluoric acid is so corrosive that it will eat its way'},1,1
eat,If you eat too many bananas you'll get a stomach-ache.,bananas,5,If you eat too many,"{'If you eat too many calories', 'If you eat too many carbs', 'If you eat too many meat', 'If you eat too many beans', 'If you eat too many chocolate'}",0.582766414,0.359243848
eat,"#10 many koreans have dogs as pets, but many other koreans eat dog!",dog,14,"#10 many koreans have dogs as pets, but many other koreans eat","{'#10 many koreans have dogs as pets, but many other koreans eat pork', '#10 many koreans have dogs as pets, but many other koreans eat dogs', '#10 many koreans have dogs as pets, but many other koreans eat dog', '#10 many koreans have dogs as pets, but many other koreans eat meat', '#10 many koreans have dogs as pets, but many other koreans eat fish'}",0.932783484,0.187897479
eat,"Yup,  urllink they eat dogs here (read story if you've got a strong stomach) .",dogs,6,"Yup,  urllink they eat",set(),-1,-1
eat,"In the summer months people even sleep next to the river (well, not  right  next to it) fishing, eating ramen, drinking soju, talking...typical korean stuff.",ramen,25,"In the summer months people even sleep next to the river (well, not  right  next to it) fishing, eating","{'In the summer months people even sleep next to the river (well, not  right  next to it) fishing, eating fish'}",0.926975727,0.297267271
eat,"One scene is with these 3 minor gangsters who are so poor they have to eat dogfood, but it gives them the runs and later (when you least expect it) a serious scene cuts to them running into a single-stall public loo.",dogfood,16,One scene is with these 3 minor gangsters who are so poor they have to eat,{'One scene is with these 3 minor gangsters who are so poor they have to eat food'},0.924358368,0.887334284
eat,I ate the spaghetti of the wall!,spaghetti,3,I ate the,"{'I ate the meat', 'I ate the whole', 'I ate the fish', 'I ate the food'}",0.726288021,0.466839491
eat,The teachers din bother to stop us from eating sweets in class.,sweets,9,The teachers din bother to stop us from eating,{'The teachers din bother to stop us from eating lunch'},0.740290463,0.479130925
eat,"i simply love fruits lor..today they wanted to go foodcourt 6, den we go lor..there got no food to eat lor..all not appealing..so fruits is just the best solution.",lor,25,"i simply love fruits lor..today they wanted to go foodcourt 6, den we go lor..there got no food to eat",set(),-1,-1
